id,pages,year,title,author,price,dimensions,materials,description,reference,images,publisher,edition,binding,isbn
10,92.0,2023.0,Can You See What I See?,Sandra Erbacher,38.0,7.75 x 10.75 inches,,"From Can You See What I See? borrows from the format of the Children’s Activity Book to explore themes of visibility and violence in warfare and education. Children’s Activity Books are a popular genre of publication meant to be in equal parts educational and entertaining. Often thematic in nature and printed on cheap gray paper, they are filled with coloring pages, and well known games and puzzles such as Word Search and Spot the Difference. From Can You See What I See? In Can You See What I See?, the coloring pages, rather than featuring popular cartoon characters or farm animals, consist of line-based compositions based on contemporary and historical military camouflage patterns from around the world. Word Search puzzles prompt viewers to identify missile and fighter jets that were named after animals or common weather phenomena. Spot the sniper, another set of images that appears throughout the book, is based on the Hidden Object Puzzle – a learning game asking children to find objects in a busy composition. Can You See What I See? Bringing together a wealth of archival research, with an observation of the artist’s own daughter’s education and media consumption, Can You See What I See? attempts to trace linkages between early childhood education and warfare, which, upon closer scrutiny, are revealed to be complex, multi-layered and highly disconcerting. Can You See What I See? By Sandra Erbacher, afterword by Carmen Winant.",,"['https://centerforbookarts.org/wp-content/uploads/2023/11/Can-you-see-what-I-see-1.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/IMG_3701-cc-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/IMG_3722-cc-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/IMG_3760-cc-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/IMG_3818-cc-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/11/IMG_E3637-cc-scaled.jpg']",,25 in the first printing,Perfect Bound Softcover,
11,8.0,2023.0,Halloween,Oswaldo García,5.0,,['risograph on paper'],Halloween is a one sheet Risograph printed zine by Oswaldo Garcia. The images and type were printed from the Center for Book Arts line cut collection and wood type specimens. 8 pages with a surprise inside!,,"['https://centerforbookarts.org/wp-content/uploads/2023/10/IMG_0072-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/10/IMG_0073-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/10/IMG_0075-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/10/IMG_0074.jpg']",Oswaldo Garcia,,one sheet Zine,
12,287.0,2023.0,"The JAB Anthology: Selections from the Journal of Artists’ Books, 1994-2020",Johanna Drucker,50.0,7.25 x 9 inches,,"Edited by Johanna Drucker and Brad Freeman. This anthology of articles selected from The Journal of Artists’ Books contains some of the best critical writing on artists’ books produced in the last quarter of a century. Driven by the editorial vision of artist Brad Freeman, JAB began as a provocative pamphlet and expanded to become a significant journal documenting artists’ books from multiple perspectives. With its range of participants and approaches, JAB provided a unique venue for sustained critical writing in the field and developed a broad subscriber base among institutional and private collectors and readers. More than two hundred writers and artists from nearly two dozen countries around the globe were published in its pages. The Journal of Artists’ Books The Journal of Artists’ Books JAB JAB JAB JAB The JAB Anthology  JAB Anthology Selections of the book can be viewed here. Selections of the book can be viewed here.",,['https://centerforbookarts.org/wp-content/uploads/2023/10/JAB-Anthology.jpeg'],University of Iowa Press,,Perfect Bound Softcover,
13,,2023.0,Leymusoom Giftshop,,,6 x 6.5 inches,"['Leymusoom Universe', 'Leymusoom Bible', '4 Leymusoom School prayer booklets', '10 postcards', '6 prayer cards', 'lenticular bookmark']","Heesoo Kwon (b. 1990, Seoul, South Korea) is a multidisciplinary artist based in San Francisco. Positioning herself as an artist, activist, archivist, anthropologist, and religious figure, Kwon builds feminist utopias in the digital realm that liberate one from personal, familial, and historical trauma rooted in patriarchy. Central to her practice and substantial bodies of work is Leymusoom, an autobiographical feminist religion she initiated in 2017 as a form of personal resistance against misogyny and an ever-evolving framework for investigating her family histories. Kwon utilizes technologies such as digital archiving, 3D scanning, and animation as her ritualistic and shamanistic tools to regenerate her woman ancestors’ lives without constraints of time and space, and to queer her past, present, and utopian dreams. Leymusoom Giftshop",,"['https://centerforbookarts.org/wp-content/uploads/2023/10/heesoo-kwon_leymusoom-giftshop_1_1728x.png', 'https://centerforbookarts.org/wp-content/uploads/2023/10/heesoo-kwon_leymusoom-giftshop_4_720x.webp', 'https://centerforbookarts.org/wp-content/uploads/2023/10/heesoo-kwon_leymusoom-giftshop_1728x.webp', 'https://centerforbookarts.org/wp-content/uploads/2023/10/heesoo-kwon_leymusoom-giftshop_2_720x-1.webp']",Sming Sming,500,Set of books with objects,
14,88.0,2022.0,Restored/Access,,32.0,7 x 10 inches,,"With texts by Keko Jackson and Matthew Grumbach “Allensworth is the first town in California to be founded, financed, and governed exclusively by Black people. Founded in 1908 as a symbol of freedom in the West, it is part of a long legacy of independent and autonomous communities created by revolutionaries and people who escaped enslavement. The town was started by Allen Allensworth, who was himself born into enslavement, and saw the land as an opportunity to live out a version of the American Dream. In its early years Allensworth saw a lot of success and self-sufficiency, establishing a free public library, access to inexpensive land and resources and a system of cooperative economics. However by 1915, a variety of causes including severe drought, racially motivated attacks, and the discovery of arsenic in the ground water ultimately led to the town’s decline. Today, Allensworth remains a state park which attempts to preserve the unique history of the land. While the demographics have largely shifted, Tulare County continues to be one of the poorest counties in the state. With this project I hope to share the story and history of a place I never learned about until coming across some boxes at my uncle’s house. By combining my own images with archival materials from his collection I attempt to bring together visual narratives both past and present to illustrate the evolution of a town that once meant so much to so many.” —Keko Jackson Keko Jackson is an artist and archivist based in Los Angeles. His work combines his interests in photography, history, and storytelling, often incorporating poetics of nature and landscape to reveal alternative histories and larger systemic inequities.",,"['https://centerforbookarts.org/wp-content/uploads/2023/10/keko-jackson_restored-access_1_1728x.png', 'https://centerforbookarts.org/wp-content/uploads/2023/10/keko-jackson_restored-access_2_1728x.webp', 'https://centerforbookarts.org/wp-content/uploads/2023/10/keko-jackson_restored-access_4_1728x.webp', 'https://centerforbookarts.org/wp-content/uploads/2023/10/keko-jackson_restored-access_5_1728x.webp', 'https://centerforbookarts.org/wp-content/uploads/2023/10/keko-jackson_restored-access_6_1728x.webp', 'https://centerforbookarts.org/wp-content/uploads/2023/10/keko-jackson_restored-access_7_1728x.webp', 'https://centerforbookarts.org/wp-content/uploads/2023/10/keko-jackson_restored-access_1_1728x.webp']",Sming Sming,300,"spiral bound, softcover",
15,190.0,2023.0,Off-Register (pre-order),Mela Dávila Freire,28.0,6.5 x 10 inches,"['offset printed', 'two colors', 'English/Spanish']","This catalog documents the creative practices of a series of Latin American women artists who, between 1960 and 1990, channeled part of their artistic impetus into printed and serialized media. The time span covered by the exhibition tracks the expansion of the conceptual movement, which began around 1960 and, depending on the geographical contexts, would last until the end of the 1980s. This was the time when artists’ books and other printed matter joined the list of new formats—installation, video, performance…—that were beginning to spread beyond the classic artistic genres and widen the field of possibilities for creators. *This catalog will ship on November 30, 2023. *This catalog will ship on November 30, 2023.",,['https://centerforbookarts.org/wp-content/uploads/2023/09/Screen-Shot-2023-09-20-at-5.51.50-PM.png'],Center for Book Arts,1000,Perfect Bound Softcover,978-1-951163-15-0
16,,2023.0,Embodied Alienation,Tamen Pérez,400.0,24 x 20 inches,"['canvas', 'grommets', 'usb cable', 'silver paint']","Large red stained canvas book, bound with grommets and an old usb cable dipped in silver paint. I was inspired by Mary Heilmann’s Book of the Night. The book subverts the function of written text not only by omitting text completely, but also by pushing against the expectations of content delivery within the book form itself. The reader must turn the pages and see what can be read phenomenologically instead of literally. Book of the Night",,"['https://centerforbookarts.org/wp-content/uploads/2023/09/Red-Book-1.png', 'https://centerforbookarts.org/wp-content/uploads/2023/09/Red-Book-2-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/Red-Book-3-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/Red-Book-1-scaled.jpg']",Tamen Perez,Unique,"Grommets, bound with USB Cable",
17,,2023.0,Three Constitutions,Russell Maret,5250.0,11.25 x 16 inches,"['Letterpress printed', 'One coptic book sewn into boards', 'two soft cover hand sewn books', 'plexi case']","Three Constitutions is an exploration of originalist thinking in constitutional interpretation. It consists of three volumes. The actual text of the constitution and amendments are set in a typeface that at first glance appears like an archaic alphabet but becomes legible as one reads. This volume is contained within an acrylic vitrine as it it is an inaccessible artifact. The two other volumes are the “interpretations.” One is a redacted version of the text that is inspired by the idea that most constitutional zealots get their information from biased news commentators which is similar to reading a redacted text. The other interpretation is inspired by the idea that the other primary source of constitutional information is the internet. For this volume the original text was translated via Google into Esperanto, from Esperanto into Russian, from Russian into Mandarin, and from mandarin back into English. The resulting text is what was printed. Three Constitutions",,"['https://centerforbookarts.org/wp-content/uploads/2023/09/2124_RM_3Constitutions_088-1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/2124_RM_3Constitutions_026-1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/2124_RM_3Constitutions_008-1-scaled.jpg']",Russell Maret,,Three books in box,
18,,2023.0,Ornography,Sarah Moody,,3.75 x 5.25 inches,"['Letterpress printed', 'Softcover longstitch bound book', 'bristol slipcase']","Ornography is a playful specimen of ornaments, fleurons, and dingbats in the collection of Russell Maret. It is covered in vintage katazome paper and housed in a rigid bristol board slipcase. Ornography",,"['https://centerforbookarts.org/wp-content/uploads/2023/09/2362_Ornography_025-1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/2362_Ornography_023-1-scaled.jpg']",Russell Maret,,Handsewn Softcover,
19,,2021.0,Z is for Zahar,Rhonda Khalifeh,1500.0,16 x 10 in,"['Digital printing on paper', 'fabric statches']","Z is for Zahar offers a look into conversations with 8 new Project Z participants and the garments created in dialogue with them. This four part unique artist’s book is the newest addition to the Project Z archive and a material companion to Project Z Book 2 (October 2022, Open Projects Press). Spanning from 2019-2021, Z is for Zahar layers material scraps, process notes, interview content, fitting photos, and finished garment photos to present an alternative garment-making narrative that privileges human relationships. Z is for Zahar",,"['https://centerforbookarts.org/wp-content/uploads/2023/09/z_zahar.04-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/z_detail.01-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/z_zahar.05-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/z_zahar.06-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/z_zahar.08-scaled.jpg']",Rhonda Khalifeh,Unique,Bolt + Grommet,
20,,2022.0,Body of Evidence,Ana Cordeiro,7500.0,10 x 17 inches,"['Full leather cover with leather inlay and onlay', 'Silkscreen', 'Letterpress', 'Woodcut', 'Intaglio', 'Linocut', 'Cyanotype', 'Van Dyke Brown', 'Fabric inserts']",,,"['https://centerforbookarts.org/wp-content/uploads/2023/09/cordeiro_ana_03.png', 'https://centerforbookarts.org/wp-content/uploads/2023/09/cordeiro_ana_02-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/cordeiro_ana_05-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/03BofE_Fernando_Pessoa_page-1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/01BofE_flag_page-1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/DSC_0239-scaled.jpeg']",Ana Cordeiro,9,Full leather hardcover in clamshell,
21,,,Letterpress Bookmark,,,,,"Bookmark, designed and printed by Caroline Wood and Gillian Lee at Center for Book Arts, 2023. Variable size/color.",,['https://centerforbookarts.org/wp-content/uploads/2023/08/IMG_2148-scaled.jpg'],,,,
22,6.0,2023.0,Beau Geste Press Exhibition Brochure,Alice Motard,5.0,4.25 x 11 inches,,,,['https://centerforbookarts.org/wp-content/uploads/2023/07/beau-geste-press.jpg'],Center for Book Arts,,"Soft cover, saddle stitch",
23,1.0,2023.0,Rituals Here Exhibition Brochure,Lukaza Branfman-Verissimo,5.0,3.75 x 8.5 inches,,Rituals Here,,['https://centerforbookarts.org/wp-content/uploads/2023/07/rituals-here.jpg'],Center for Book Arts,,Six panel brochure,
24,1.0,2023.0,I Couldn’t Read What I Dreamt Of Exhibition Brochure,,5.0,3.5 x 7.87 inches,,,,['https://centerforbookarts.org/wp-content/uploads/2023/07/I-couldnt-read-what-I-dreamt-of-.jpg'],Center for Book Arts,,Six panel brochure,
